TEXTBODY,Category
 I am requested invoice number 249019691 to be sent toap@palazzohc.com,Statement
"Can you guys get this all on one sheet of paper, please?  Belo",Statement
"Again, this invoice has been paid.",Paid by Customer
Payment was made on 5/19 thru Xyz Payment center as it is every week. I don't understand why this is happening.,Paid by Customer
"I am out of the office until Tuesday, May 21, 2019. Have a great week.",Out of office
"GINNY'S KITCHEN & CUSTARD, We you for your business.  This is a friendly reminder for payment on your account. If you have made a payment, kindly disregard this notice. If payment has been submitted online through Xyz Account Center, allow 1 business day for payment processing. review the details below regarding past due or skipped invoices. We currently show a past due balance of USD 1,058.13 Overdue: USD 1,058.13 For your convenience, a link to Xyz Account Center is provided below to make a payment. Xyz Account Center On Xyz Account Center you can view copies of invoices, credit memos, and statements as well as make and schedule  payments. contact your Credit Analyst if you have any other questions. you for your prompt assistance to this matter.",Other
you. I scheduled payments this morning. Lisa L. Reese,Promised
"you! Heather, these are in the inner office mail for processing. Tam",Promised
"LASCAS, We you for your business.  This is a friendly reminder for payment on your account. If you have made a payment, kindly disregard this notice. If payment has been submitted online through Xyz Account Center, allow 1 business day for payment processing. review the details below regarding past due or skipped invoices. We currently show a past due balance of USD 9,057.62 Overdue: USD 9,057.62 For your convenience, a link to Xyz Account Center is provided below to make a payment. Xyz Account Center On Xyz Account Center you can view copies of invoices, credit memos, and statements as well as make and schedule  payments. contact your Credit Analyst if you have any other questions. you for your prompt assistance to this matter.",Other
"The joefelice@yahoo.com address is not affiliated with tis account, take my email off your record.",Contact Update
"I will out of the office Friday, May 17th and I will return on Thursday,May 23rd. If there are any matters that need immediate attention, please feel free to contact Sheila Weeks- Brown at (215) 386-1280 ext. 6120 or email her at swbrown@womenagainstabuse.org.",Out of office
see the attached statement that was sent to meAnything marked as need send me a copy of the outstanding invoice.you,Statement
Can I get a copy of the invoices that need payment please.,Statement
"The check was mailed on 05/13/2019 for the full amount. We spoke to Ryan and he confirmed the mailing address in New Braunfels. verify if you receive the check today. Also, remove the below email addresses from your billing records. All billing inquiries are to be sent to myself and Kathy Carlisle (ONLY). Lupita and Roy are not to receive billing correspondence as they are no longer owners of the business.",Paid by Customer
Hello I'm unable to open this Excel Invoice. send a different format. you Manon,Statement
"remove me from this list. Kind Regards, Joe Schulte",Contact Update
Hello Unable to open. send in a different format You Manon,Statement
"Check #3463 in the amount of $17,467.9 is being mailed today. you, Beverly Saltness",Promised
 It appears I do not have this invoice. Can you resend asap? Country Inn & Suites by Radisson,Statement
"CEVICHES BY DIVINO INTERNATION, We you for your business.  This is a friendly reminder for payment on your account. If you have made a payment, kindly disregard this notice. If payment has been submitted online through Xyz Account Center, allow 1 business day for payment processing. review the details below regarding past due or skipped invoices. We currently show a past due balance of USD 1,765.64 Overdue: USD 1,765.64 For your convenience, a link to Xyz Account Center is provided below to make a payment. Xyz Account Center On Xyz Account Center you can view copies of invoices, credit memos, and statements as well as make and schedule  payments. contact your Credit Analyst if you have any other questions. you for your prompt assistance to this matter.",Other
 The Invoices mentioned below are already applied as of Payment Ref:015561928. you for making the payment.,Paid by Customer
"Kerry, Forwarding this email to our customer service department. send these emails toaccountspayable@medstar.netandstatements@medstar.netonly. you.",Contact Update
This is King Chef Tell City 252742 . I sent this check on 5/9/19 already. Check number 5163 . double check again. Thanks,Paid by Customer
"Hi: My name is Lori Bardini, I am the new bookkeeper at Out of Bounds Brewing Company. I just make the payment for $14,189.84.If you have any questions let me know. youLori",Paid by Customer
" May I request a copy of invoice 245864202? you. Warmest regards,",Statement
"Saurabh, find the payment status for the requested invoices. Vendor Name Invoice # Invoice Date Amount Voucher Status Check # Check Date 231245483 4/19/2019 $2,225.52 3268878 Your Invoice has been processed and we will notify home office as per request - - 231235264 4/12/2019 $1,680.96 3265369 4710 5/14/2019 231239720 4/16/2019 $1,511.53 3265371 4849 5/16/2019 231245484 4/19/2019 $759.47 3268848 Your Invoice has been processed and we will notify home office as per request - - 231239721 4/16/2019 $447.98 3265372 4849 5/16/2019 OBCL131799480 6/13/2018 ($257.81) 3162425 128944 6/28/2018 231235263 4/12/2019 $171.89 3265393 4710 5/14/2019 231245482 4/19/2019 $156.42 Require Invoice Copy 231245485 4/19/2019 $93.67 3268849 Your Invoice has been processed and we will notify home office as per request - - 231245486 4/19/2019 $68.41 3268850 Your Invoice has been processed and we will notify home office as per request - - 231239722 4/16/2019 $59.86 3265373 4849 5/16/2019 231238162 4/15/2019 $48.75 Inprocess 231235265 4/12/2019 $38.21 3265370 4710 5/14/2019 231233323 4/10/2019 $31.85 Inprocess 231223671 4/4/2019 $30.00 3272821 Your Invoice has been processed and we will notify home office as per request - - 231239723 4/16/2019 $28.40 3265374 4849 5/16/2019 231245487 4/19/2019 $22.24 3268851 Your Invoice has been processed and we will notify home office as per request - - 231233239 4/10/2019 $15.18 Inprocess 231239724 4/16/2019 $11.86 3272822 Your Invoice has been processed and we will notify home office as per request - - 131990965 10/23/2018 $101.91 3210202 135584 11/27/2018 OBCL131746167 5/5/2018 $16.07 3161426 128944 6/28/2018 231226903 4/5/2019 $365.90 3261811 4449 5/7/2019 231163058 2/22/2019 $181.38 3249380 2851 3/26/2019 131899548 8/21/2018 $1,292.67 3189112 132912 9/20/2018 231153896 2/15/2019 $411.18 3245576 Paid 2565 3/19/2019 Xyz Food Service - Sacramento 231213546 3/29/2019 $964.31 3260924 Paid 4170 4/30/2019 And also provide Credit Memo copies for the below amount. ($16.07) ($19.32) ($44.01) ($48.12) ($48.57) ($49.03)",Paid by Customer
 This billing is not for us. It is for St. Aloysius School in Hillsboro. you.,Contact Update
"DearFIRST BAPTIST CHURCH, We you for your business. This is a friendly reminder for payment on your account. If you have made a payment, kindly disregard this notice. If payment has been submitted online through Xyz Account Center, allow 1 business day for payment processing. review the details below regarding past due or skipped invoices. We currently show a past due balance of USD 4,335.44 Overdue: USD 4,335.44 For your convenience, a link to Xyz Account Center is provided below to make a payment. Xyz Account Center On Xyz Account Center you can view copies of invoices, credit memos, and statements as well as make and schedule payments. contact your Credit Analyst if you have any other questions. you for your prompt assistance to this matter.",Other
Can you send us the click to pay so we can use card,Other
"I am currently out of the office, returning Tuesday, May 21st. I will respond to all emails at that time. If you need immediate assistance, please call 320.202.3100 or email Accountinggroup@SandCompanies.com. Thanks!",Out of office
Check # 24169 for $ 31835.22 was mailed on May 10th. Thanks Ginger,Paid by Customer
Hi! What are the amounts that I highlighted in yellow?,Other
Payment has been sent. It should reach you all by 5/23/19.,Paid by Customer
Shaun is suppose to pick up the checks! ONLY email him on this. If he doesn't come that is your sales reps fault. We use to give the checks directly to the driver and we prefer that method.],Promised
"all, I need a credit reference for Amazing Taste Inc.",Statement
I am no longer with Fresh to Order. For AP contact Noelle Strickland at nstrickland@qsamerica.com. For AR contact bwalter@qsamerica.com.,Contact Update
" Check was sent last week on the 15th, you should be receiving it soon. Sincerely,",Paid by Customer
I will be on out of the office on vacation starting Thursday May 16th and returning to the office on Monday June 3rd. For Immediate assistance please contact the corporate office at 407-842-1100. For A/P related issues contact Gail at 407-842-1108 gail.calliste@palmasrestaurants.com I will have limited access to my emails and I will try to respond as soon as I can.,Out of office
Not sure why I'm getting these emails but I do not work for Mcguiggans pub,Contact Update
I paid this on your payment portal online on 5/18/19.,Paid by Customer
Automatic reply to hiecypress@bnmanagementco.com is no longer active. contact houyc.gm@gmail.com. you,Contact Update
" See payment detail below on invoices noted as past due on the attached statement. 275605470 Payment issued under check # 6391 and was mailed last week, should arrive any day now 175733549 Payment issued under check # 3494 totaling $3,978.61 and cleared the bank on 2/16/18 17509669P Will take this credit on our next check",Paid by Customer
I will be out of the office May 18th and returning on May 28th. In my absence contact Courtney Bunch @ 954-633-6548 email courtney.bunch@islecorp.com or Sheena@ 954-633-6549.,Out of office
 send me the updated statement for Myn-Tu. you. Mayra Viera,Statement
Paid,Paid by Customer
10- 73/27 6-81/19 6- boneless breast 4- twice baked potatoes 1- corn cobs 1-apple pie,Other
Received by the AP Team you so much! We appreciate your continued support and assistance Team Work Makes The Dream Work,Other
" I will be out of the office beginning Friday evening, May 17th, and returning Wednesday, May 22nd attending National Restaurant in Chicago. I will have limited access to email during this time, and will reply to email and voicemail upon my return. If you have an immediate need contact Ambit Technologies' office via one of the options below.",Out of office
"Akash, Al the attch credits have been processed and it will reflect on check number 3692 when you receive the check.Invoice number 345030665 and 345039646 has been processed and the check has been mailed out on 5.15.19 Invoice number 345006398 is a skipped invoice I will process this invoice for this week's check run. do not hesitate to contact me for any Ap invoices I will be the contact person .Below is my contact information .",Paid by Customer
All three checks should be clearing bank today or tomorrow. It was a problem with my bill pay. I notified my rep last week. Honestly I do not appreciate being threatened. I will look to bring my business else where. I've been a customer for 11 years. Never was I was I late in payment or delinquent in my account,Promised
Sending a check out tomorrow for overdue amount,Promised
These have all been sent to the system for approval,Promised
I am currently out of the office returning on Tuesday 16th. If you need immediate assistance contact any of the following Mary Edwards -Medwards@core-mark.com or Martha Villarreal - Martha.villarreal@core-mark.com or Elizabeth Gonzalez @ elizabeth.gonzalez@core-mark.com,Out of office
HiAkash Rana kindly send us the invoice so we can arrange for the payment. You!,Statement
you I scheduled payments this morning. Lisa L. Reese -,Promised
We paid this on Friday the 17th. Payment confirmation attached.,Paid by Customer
This is sitting out there to be paid it says being processed,Paid by Customer
Rupali Can I make this payment in installments please?Like weekly payments or somethingI can sign a personal guarantee for this,Other
"I called maybe like a week ago to talk about the outstanding invoice but haven't heard back. Question, Can I make this payment over the phone?Ana Flores",Promised
"I can reached very easily at the number listed below.If I don't pick up send me a text. God Bless,",Other
"you for reaching out to us at h Club LA. Katherine Wylie is no longer with our team. For questions or concerns, reach out to the accounting department at (323) 963-5530 or accounting@hclub.com. you!",Contact Update
"Payment for April invoices will be processed this week. HELEN MARSHALL, CPA Controller",Promised
"Invoice 32740011 in the amount of $2,367.07 was paid on check #42200. The remaining balance of $86.35 for inv #227243258 will be paid with the next statement, unless you prefer I send it sooner. you,",Paid by Customer
This was paid on 5/15 on check #42200,Paid by Customer
"Checks were cut and mailed out on 5/16/19. According to my records, you should be receiving check #003662 in the amount of $4,977.18 this week. let me know if you have any questions. Best Regards",Paid by Customer
The check was put in the mail last week. I paid it as soon as I received it in the office. I believe my maintenance man had lost the original invoice and didn't tell me. Sorry for the inconvenience. Maurica Clouser,Paid by Customer
Instead of sending this to me why don't you call my sales rep.,Other
"Additionally, per the statement attached, our total outstanding is $16,437.62, not the 48,904.50 that you mention below. advise.",Statement
 provide us with a copies of the invoices. you,Statement
See notes in red regarding payment status. Let me know if you have questions.,Other
"Hello: In the future, include Carolina Rojas atcarolina.rojas@hilton.comto the email distribution list as she handles all of our payables. you,",Contact Update
Already paid,Paid by Customer
"I will get my butt over to the SureStay and get these invoices printed and sent to you. I'm so sorry. Warmest Regards, Lisa Heavilin",Statement
Approval was sent to pay by charge Friday evening 5/18 for invoices due 5/18/19. Other all outstanding balances should be reviewed with David Swanson sales rep.,Promised
see attached and provide information/invoices requested. you. Christine West,Statement
for sending these. Can you send invoice #15639808P for a credit of ($71.71)? I am still missing that one.,Statement
 I will be out of the office starting on Friday May 17th returning Tuesday May 21st with limited access to email. I will respond to all emails upon my return. For immediate assistance call the hotel directly at 412-682-6200.,Out of office
"I will be out of the office returning on Sunday, 05/22. If you require immediate assistance contact Tedrick Woods at 480-831-3770 or woodstedrick@fvtaz.com. You, Brian Banks",Out of office
All invoices have been paid.,Paid by Customer
"attach check copy showing 227152898 Was paid.. Once that is corrected I will apply the $13.60 in credits to 12731743S bringing that total to $4.64 let me know if you have any questions. Be Tru,",Paid by Customer
"Xyz, Can you send me copies of our outstanding invoices? you,",Statement
"Greetings, The associate you've emailed is no longer with the company. For assistance, contact the hotel directly. We look forward to hearing from you.",Contact Update
I am currently OOO with limited access to email and will reply upon my return.,Out of office
"I have reissued this check # 52889 for $2679.61 today 5/20/19. Should you received Check # 52842 after the fact, return it to us. you. Kelley",Promised
"Our salesman has a $3,000 ck from Friday",Paid by Customer
Can you kindly send over invoice # 324047189 in the amount of $759.15  so that we can trace this out for processing. All others have been posted/paid with the exception of the credits which will be posted today.,Paid by Customer
"debralyn, you for using Xyz Account Center to make an online payment for the Xyz PORTLAND: SKY HIGH SPORTS: 823757 account. Below you will find the details of your scheduled payment. If you wish to review your payment, log into your accountClick Here. Payment details Customer Name SKY HIGH SPORTS Confirmation Code 823757-7096946 Payment Date 5/21/2019 Account Name Envista Entertainment Last 4 Digits Of Checking ********2223 Created By debralyn cox Total $4,338.79 This payment will be applied to the following: Invoices Inv # Due Date Open Amount Pay Amount Notes 252658403 5/17/2019 $846.70 $846.70 252666916 5/17/2019 $3,179.23 $3,179.23 252667518 5/17/2019 $312.86 $312.86 If you have any problems accessing this account,Click Here, or call us 281-758-6853",Other
"You have been invited to take the survey: Resolved Status Survey.  Click here to take your survey:Take me to the SurveyTo view your survey queue at any time, sign in and navigate to Self-Service > My Assessments & Surveys.",Other
I Need a copy of document number OBUN9166231087 please. The following document numbers have been paid in last weeks check run and you should be receiving this week: 214158295 214162761 214153664 We will use the outstanding credits against the open document requested above.,Promised
"INC000000147052 - E-Invoicing [Ref:ACC464811960327402740130519] Your incident has been resolved. The incident will automatically close in 5.0 days Summary details Resolved by: Venkatesh Vallabdas Resolved notes: email updated If you feel the issue is not resolved, click the following link and reopen your incident: Reopen Incident",Paid by Customer
take my name off these emails and send these to- george@restaurantaccountingsolution.com to get up to date information on paid and unpaid invoices. I know there were a bunch paid last week and he can provide info on which invoices and specific amounts.,Contact Update
"Check#36780, dated 05/15/19 in reference to the invoices in question.",Paid by Customer
Can someone call me about this account my name is Nicole Markley phone# is 814-864-5987,Other
This invoice was paid already,Paid by Customer
" We show that our check# 14303 dated 05/02/19 in the amount of $14,187.07 has not cleared the bank. We will void and reissue this check, do not attempt to cash this check for it will be returned.",Paid by Customer
" Attached is the spreadsheet containing the status of the open invoices for account #231563. Best regards,",Paid by Customer
All I don't know why i get this email every week. My accounts are updated and I always make full payments every Monday!,Promised
GAVE CHECK TO RICK CHECK #19782 APPARENTLY HE LOST IT.I WOULD THINK YOU WOULD CHECK WITH HIM BEFORE SENDING ME A NASTY LETTER SIGNED JOHNNY CREEKMORE OWNER RIVERSIDE PRODUCE PS SENDING A CHECK THROUGH US MAIL,Other
Can you get Janell added to these emails from Xyz finance Cheers Paul,Contact Update
"Check 13672 sent 5/14 for $3,375.28 paying Paul,",Paid by Customer
"lol, was paid before you sent this nasty gram.",Paid by Customer
Made on line payments yesterday morning,Paid by Customer
"Diane, We should be on Autopay as we have been for the past few years. Not sure why there would be a balance. Mark",Paid by Customer
where the invoices look at your attachment can you read any invoices send the invoices after credit by fax :718-222-4985thanks mostafa,Statement
"you so much for your email. I am no longer at this email address.   make a note of my personal email address: heather.zidell@gmail.com.  I will not be checking this email again. If this is pertaining to anything Trailercakes related, send an email to orders@trailercakes.com & have a 'sweet day!",Contact Update
I am currently out of the office and will return Tuesday 5/28/19 - if you need assistance contact accountspayable@nixonpeabody.com.,Out of office
 be informed that SMMC Accounts Payable did not receive all the past due invoices listed in attached billing statement except for Inv.250873846 which was already submitted to Controller's office for payment processing. submit these invoices so we can process the payments.,Statement
" I requested for the credit to be apply to the small amounts, and send me a revise invoices with the rest due. Also here on image of the check send to you last week.",Statement
" A check will be processed on the May 21stvoucher cycle. you,",Promised
"Can you send over an invoice copy? I was on vacation when the first email came and am back today, but neither emails had the invoice attached. in advance for your help. Julie",Statement
send invoice...not attached,Statement
This is the check that cover invoices #184880869.,Paid by Customer
"$651.94 paid may 6th, 2019 (receiving DocNr:17452095 $1893.34 paid may 6th, 2019( receiving DocNr: 17452096 Dorte (DEE) Wendell",Paid by Customer
Why sun I still getting these emails. There is a new owner at this location. remove this email from your contacts and contact the new owner Erica St. John. you,Contact Update
This invoice was paid on 5/15/19 on check #8976 in the amount of 694.22 youConnie SakkinenAccounting/Office Manager906-337-0569,Paid by Customer
This is not my Emmanuel Christian School account. We are in Enid OK and this school is in South Carolina. I think my email was added by accident.,Contact Update
Accont is current other than credits that are due/past due. You need to talk to Steve. Wanda Tanner,Other
"I mailed check #33949 for April invoices $2,973.67",Promised
Let me know if you need more inf.,Other
I have nothing to do with this stuff so why am I getting an email? take my name from your list,Contact Update
"Check #1912 for $3,563.94 is in the mail and should arrive by Wednesday. Thanks.",Promised
Can you send me the invoice #'s and the amounts of those that have not been paid?,Statement
"I just processed a payment for $6104.79 as well as scheduled a payment for $8264.23 to take place on Friday, 5/24/19,  Christi Kimball",Paid by Customer
 A check was sent out on 5/14/19 (check #013215) in payment of: Inv#324188635 Inv#324171510 Inv#324171502 let me know if you have received this check. We are unable to retrieve the ($24.72) and ($27.98) documents off of the website. Can you email a copy to me?,Paid by Customer
This payment was made on 5/17. Elizabeth Brown,Paid by Customer
"I will be out of the office on vacation May 14-21, 2019. I will return on May 22, 2019. If you need immediate assistance, contact Kimberly Ashcraft (kimberly.ashcraft@lodgeworks.com) or Kerry Bohon (kerry.bohon@lodgeworks.com). you.",Out of office
I will be out of the office Monday 05/20/19 returning Tuesday 05/21/19. call Carrie Robertson or Lisa Barresi for any urgent matters.,Out of office
I paid all this morning.,Paid by Customer
In reference to you your email of today; I replied and sent payment details to ALL on 5/17/19. confirm recpt. Sandy,Paid by Customer
 you for bringing this to our attention. I have attached the copy of your inquiry with payment status information as well as the remittance copies for your info.,Paid by Customer
" Attached is the spreadsheet containing the status of the open invoices for account #651018. Best regards,",Statement
see attached; (2ndemail conf) I replied to All on 5/17 as requested confirm rcpt Sandy,Paid by Customer
" Can you remove the emailscmayock@journeymanco.com, andasmith@journeymanco.comfrom the distribution list and add me? ",Contact Update
I have logged into the Xyz account system to print the following invoices/credit as we do not have them in our system. There is a message that states that the page is not available and refers me back to Xyz to obtain copies. 14304566S 14304738S OBCL 243449546 If I could receive copies of them to enter for payment.,Statement
"Paid online this morning Sally KanipeAccountantStation 30025 Innovation DriveBluffton, SC 29910",Paid by Customer
DSN Your message to rswafford@dlrmc.com couldn't be delivered. rswafford wasn't found at dlrmc.com. Xyz.customer.credi. . .,Contact Update
This was done on Saturday. The difference in the amount is because you have not given us two credits owed to us. Third reminder..... David,Paid by Customer
Check number #75808 - $1462.15 Mailed today  you!,Paid by Customer
I could not login in to the account. I e-mailed to you guys last week and no response. Could you pls help me in logging in to our Xyz account? ThanksYousufMemphis cash & carry,Other
 Enclose find copies of the checks issued by corporate office on different dates. If you haven't receive any of those check let me know so I can request it to be reissue.,Paid by Customer
"Hello. This is for Hatfield, PA facility. Joe no longer works for the company. Noah should be your new contact for Hatfield. I have added him to this email. Thanks!",Contact Update
"To All, for the statement. Invoice# 324164802 was paid via check# 0000118800  May 17, 2019, confirm when it's received.",Paid by Customer
email boston@wahlburgers.com I no longer work at the fenway location,Contact Update
 see the latest payment detail for Concord you and have a great day!,Paid by Customer
"note that Deborah Visteen e-mail address is incorrect, it should be deborah.visteen@swissport.com Kind Regards, Wanda Billips",Contact Update
 see the latest payment detail for Grand Hyatt you and have a great day!,Paid by Customer
"I will be on vacation from May 20 to May 31rst and will return to the office on June 3rd. For vendors inquiring about bill payments, I will be taking care of invoices and payments on June 3rd. I apologize for any inconvenience this may have caused. you, Jane Stephens",Out of office
 see the latest payment detail for La Cantera you and have a great day!,Paid by Customer
"To All, Can you send me the following invoice: Document # Inv Date Due Date Days Past Due Promised Amount 12412864S 2/10/2019 3/15/2019 66 $8.04",Statement
"I did send payment,",Paid by Customer
"Julie, It's really strange that we would get a reminder like this today. That payment was scheduled earlier last week to take place on the due date, 5/18/2019. It's already showing as Sent in the system, so we don't need to do anything with it. I just wanted to bring this glitch to your attention.",Paid by Customer
"On account 788976 apply: credit memo 216537697 (28.19) to invoice 216533881 once last week's check is applied will clear to 0 credit memo 216515986 (29.76) to invoice 216515595 this should clear to 0 credit memo 216552479 (32.65) to invoice 216527846 this should clear to 0 Attached is a copy of 5/17 check for $4,101.48 # 284501 Paola, I am not seeing invoice 216527848 in the system. check and see if you have to be processed.",Paid by Customer
update Shellene Ayers toShellene.Ayers@hgv.com. You are currently missing the last e in Shellene and there it not getting to her. note Phone number has changed Matt Gilbert,Contact Update
I'm off today but our board meeting is tonight and a check will be put I. The mail tomorrow,Out of office
DSN Your message to zhang.zifeng@eastwi.Xyz.com couldn't be delivered. zhang.zifeng wasn't found at eastwi.Xyz.com. Xyz.customer.credi. .,Contact Update
Your message to swarren@adobe.com couldn't be delivered. swarren wasn't found at adobe.com. Xyz.customer.credi. . . Office 365,Contact Update
process through ACH. make all payments moving forward auto ACH.,Paid by Customer
DSN Your message to zhang.zifeng@eastwi.Xyz.com couldn't be delivered. zhang.zifeng wasn't found at eastwi.Xyz.com. Xyz.customer.credi. .,Contact Update
The check is going out tomorrow for invoices 275602474 and 275595417. I need copies of invoices 17541024S and 17539704S. For some reason I am unable to get them from the website. Beth Cancelliere,Promised
" submit invoice #'s- 292434738 and 19218108 with proof of delivery. use our AP Self-Serve Website for obtaining payment information. Use your A/P Vendor Number as your Login ID & Password. Your vendor number can be found on any previously issued check remittance:http://safeway.firstvendor.apexanalytix.com This website can provide you with the past 6 months of payment detail. You can search payment information by a date range, by invoice or by remittance number. This information can also be exported to Excel or PDF for easy research.",Statement
stop sending these ridiculous emails at once!,Other
DSN Your message to block.reece@eastwi.Xyz.com couldn't be delivered. block.reece wasn't found at eastwi.Xyz.com. Xyz.customer.credi.,Contact Update
DSN Your message to zhang.zifeng@eastwi.Xyz.com couldn't be delivered. zhang.zifeng wasn't found at eastwi.Xyz.com. Xyz.customer.credi. .,Contact Update
" submit invoice #'s- 292426157 19213862s with proof of delivery. use our AP Self-Serve Website for obtaining payment information. Use your A/P Vendor Number as your Login ID & Password. Your vendor number can be found on any previously issued check remittance:http://safeway.firstvendor.apexanalytix.com This website can provide you with the past 6 months of payment detail. You can search payment information by a date range, by invoice or by remittance number. This information can also be exported to Excel or PDF for easy research.",Statement
see below. You should receive this week. ,Promised
This was already scheduled to be paidtomorrow on 5/15. We have trouble at this location receiving our invoices. I'm not sure if it is us or you.,Promised
"Rajat, The policy here is that we do not pay interest charges for late payments. ",Other
email all invoices to spicehouse@app.hubdoc.com for payment. you for your attention to this.,Contact Update
This was mailed today Laura Walters,Promised
"hiAkansha, for the invoice,can you email back the payment link that I can pay for it, tinny",Promised
"I made payment $935.69 today, the rest is sceduled. I'm doing the best I can",Promised
I sent this information last week. SEE BELOW.,Paid by Customer
"Account 722983apply: 216486599 credit memo (30.24) to invoice 216483921 this should clear to 0 216157518 (2.26) was taken 11/2/2018on our check #115385. Do you want us to take the credit again? Attached is a copy of the 5/16 check #116343 for $4,283.82 Paola,",Paid by Customer
"$1173.49 was paid Friday, May 17.",Paid by Customer
Why am I getting this? The account says it's up to date int he Xyz account center? see below. Ray ReyesGeneral Manager,Paid by Customer
"I believe you sent this email to the wrong customer. I am a customer of Xyz, but the account number is not mine, and I don't have any outstanding balances owed as of today. I am also located in CA and not TX. s, Rick....",Contact Update
This message was created automatically by mail delivery software. A message that you sent could not be delivered to one or more of its recipients. This is a permanent error. The following address(es) failed:,Other
" In reconciling this statement, we are missing a credit invoice. email me invoice #225074300. you, Kim",Statement
"This invoice was paid on Friday 5/17 with check #17924. There were several other invoices paid at the same time. If you have any questions, let me know. ",Paid by Customer
Why am I getting these past due reminders when this was paid on 5-17-19? Says it will post 5-18-19? I am getting these frequentlyThis never used to happen is this something new??  ~Jackie,Paid by Customer
"Rupali - We do not pay interest charges on invoices. Attached are the remittance details for the payments below showing payments processed successfully. If you cannot locate the funds, contact Paymode at 877-443-6944. 237482103 - paid 5/8, ACH 100344395 237492355 - paid 5/15, ACH 100345178 237298810 - paid 2/6/19, ACH 100332735 Vendor 157348 Laurie Grimes Customer Service, Central Accounts Payable 8990 State Route 108 | Suite M | Columbia | MD | 21045 W: 888-383-8000 | F: 410-740-0790",Paid by Customer
" we are working on these invoices. Below is the proper method to submit invoices. Can you tell me where you send them? If you are sending to Accounting, we can follow-up with them. you, Sheila For prompt invoice processing and to avoid payment delays: ensure that the PO number is referenced on all invoices Email invoices directly toerp-accounts-payable@coh.org(one invoice per email) To follow-up on invoices submissions, emailAPInquiry@coh.org",Statement
"JamieSeems our AR/AP is not correct, take this up with darrel and correct our info, I can't make sense out of it as of yet, I presume you are all satisfying the invoice AR and not just applying $'s, but invoices should matchhohumthx'ryan Ryan FletterOwner/Director of Operations Cherry Creek North3030 East 6th Ave. |Denver, CO 80206phone 303 393-1040www.barologrilldenver.comryan@barologrilldenver.com",Statement
Hi. This is the qmail-send program at server265.com. I'm afraid I wasn't able to deliver your message to the following addresses. This is a permanent error; I've given up. Sorry it didn't work out.,Contact Update
DSN Your message to kravec.adam@cle.Xyz.com couldn't be delivered. kravec.adam wasn't found at cle.Xyz.com. Xyz.customer.credi. .,Contact Update
I can't log in to pay the bill. There doesn't seem to be a way to create an account. Pls advise.Mark DanaClancys long Beach,Other
this is Julia Take off my email from the companyI'm not in marisco Caribeno any more thanks,Contact Update
DSN Your message to koontz.kevin@atl.Xyz.com couldn't be delivered. koontz.kevin wasn't found at atl.Xyz.com. Xyz.customer.credi. .,Contact Update
you. We will process payment in the morning,Promised
We are on Auto Pay yet we get this messages Jasmine Shah,Paid by Customer
"all invoices should match pymnts, if not there is a problem, we take credits after 60 days or so and apply intentionally, NOT look at account balance but invoice to invoicethxrya",Statement
 Invoices 235196730 and 235196729 were both paid on check 03957525 sent out on 5/15. Below is all the check info.,Paid by Customer
" Invoices 235195435, and 235195434 were paid on check number 03957525 sent on 5/15. Below is the check info. you,",Paid by Customer
" Invoices 235194130 and 235194309 were paid on check 03957525 sent on 5/15. Below is the check info. you, HMSHost",Paid by Customer
Hello Invoice 235199866 was paid on check 03957525 sent on 5/15. Below is the check info.,Paid by Customer
"First I am hearing of this, sent me a new statement and i will reviewThanksDarrel",Statement
HiThis payment was also made on Thursday. I made a split payment from 2 different accounts Diana,Paid by Customer
The following message to  was undeliverable. The reason for the problem: 5.x.0 - Message bounced by administrator,Contact Update
"Roy Lee Looks like there is a problem with drop invoices, for one I don't get them, can we fix this Regarding the balance on statement can you send me prefer one invoice for 344.01, one invoice or some statement document showing 344.01 so I can request check being cut asap. Only for $344.01 as the $1223.84 ( inv .7758 ) is already process and checks are on the way with two other inv 4640 abd inv  6290 Looks like we have problem with drop invoices",Promised
DSN Your message to lisa@qcforkids.com couldn't be delivered. lisa wasn't found at qcforkids.com. Xyz.customer.credi. .,Contact Update
"Michelle, see property response in attachment. Can something be done about cutting the property off from purchases? It does not seem fair that we are now getting information pertaining to open invoices from 2016, and 2017.",Other
" Allow me to introduce myself, I am Lupe the new Accounts Payable Manager. For future Invoice submission, email tolupe@manhattanyouth.org. Helen Mango is no longer with the company and any correspondences to that email will go unanswered. Payment for the mentioned amount of $1852.35 was mailed out 5/17/19. If you have any questions or concerns, contact me by email or by phone.",Contact Update
Check your mailroom. Mary Jo,Paid by Customer
"DearCATTLERANCH STEAK HOUSE, We you for your business. This is a friendly reminder for payment on your account. If you have made a payment, kindly disregard this notice. If payment has been submitted online through Xyz Account Center, allow 1 business day for payment processing. review the details below regarding past due or skipped invoices. We currently show a past due balance of USD 7,206.29 Overdue: USD 7,206.29 For your convenience, a link to Xyz Account Center is provided below to make a payment. Xyz Account Center On Xyz Account Center you can view copies of invoices, credit memos, and statements as well as make and schedule payments. contact your Credit Analyst if you have any other questions. you for your prompt assistance to this matter.",Other
CONFIDENTIALITY NOTICE,Other
This message was sent securely using Zix,Other
DSN Your message to rust.joseph@centralpa.Xyz.com couldn't be delivered. rust.joseph wasn't found at centralpa.Xyz.com. Xyz.customer.credi. .,Contact Update
